File Type             : Number of Files
[0x00,0x00,0x00,0x00] : 59
[0x41,0x54,0x45,0x55] : 18851
[0x41,0x54,0x45,0x58] : 100140
[0x3c,0x53,0x74,0x61] : 39
[0xff,0xfb,0x54,0x64] : 1
[0x61,0x73,0x6e,0x64] : 20
[0x3c,0x3f,0x78,0x6d] : 51
[0x73,0x74,0x72,0x73] : 1417
[0x7c,0x1a,0x49,0x7a] : 1
[0xff,0xd8,0xff,0xe1] : 1
[0x05,0x02,0x00,0xff] : 1
[0x06,0x03,0x00,0xff] : 1
